domain,has_https,domain_age_years,ssl_valid,ssl_issuer,redirect_count,page_load_time_sec,server_location,server_response_code,ads_density_score,external_links_count,social_media_presence,contact_info_available,privacy_policy_exists,terms_of_service_exists,whois_privacy_enabled,domain_registrar,content_update_frequency,mobile_responsive,security_headers_score,tls_version,certificate_type,hosting_type,cdn_used,javascript_obfuscation_score,popups_present,malware_flag_score,domain_age_bucket
naturalnews.com,True,23,True,Let's Encrypt,0,3.5,Canada,200,0.48,180,low,False,False,False,True,GoDaddy,irregular,False,69,TLS1.2,none,shared,no,44,no,24,growing
mayo.edu,True,176,True,DigiCert,0,1.4,USA,200,0.02,69,high,True,True,True,False,Network Solutions,weekly,True,91,TLS1.2,OV,enterprise,yes,4,no,1,legacy
nih.gov,True,118,True,InCommon,0,0.5,UK,200,0.48,26,high,True,True,True,False,MarkMonitor,hourly,True,84,TLS1.3,EV,cloud,yes,17,no,0,legacy
jstor.org,True,20,True,InCommon,0,1.7,UK,200,0.09,52,high,True,True,True,False,Network Solutions,daily,True,88,TLS1.2,OV,enterprise,yes,16,no,0,growing
dailymail.co.uk,True,21,True,none,2,4.4,Offshore,200,0.6,158,medium,False,False,True,True,Namecheap,irregular,True,37,TLS1.2,DV,cloud,yes,32,yes,4,growing
npr.org,True,175,True,DigiCert,2,0.6,UK,200,0.29,41,high,True,True,True,False,Verisign,hourly,True,96,TLS1.3,OV,cloud,no,5,no,0,legacy
nasa.gov,True,199,True,GlobalSign,0,1.3,Canada,200,0.26,17,high,True,True,True,False,CSC Corporate,hourly,True,93,TLS1.3,DV,cloud,yes,14,no,0,legacy
wakingtimes.com,True,17,True,Let's Encrypt,3,4.0,USA,200,0.59,121,medium,True,False,False,True,Namecheap,daily,False,41,TLS1.0,DV,cloud,yes,26,yes,21,growing
infowars.com,False,19,False,none,5,3.8,Offshore,200,0.97,50,medium,False,False,False,False,OVH,daily,False,61,TLS1.1,DV,cloud,no,86,yes,93,growing
infowars.com,True,19,False,Let's Encrypt,5,5.3,Offshore,200,0.7,54,low,True,False,False,False,Namecheap,weekly,True,61,TLS1.1,DV,offshore,no,90,yes,0,growing
globalresearch.ca,False,11,False,none,0,5.2,USA,200,0.6,190,medium,True,False,True,True,OVH,weekly,True,34,none,self_signed,cloud,no,24,no,10,growing
infowars.com,True,5,True,Let's Encrypt,1,1.5,UK,200,0.89,189,low,False,True,False,True,OVH,daily,False,37,TLS1.2,self_signed,shared,no,43,yes,3,new
davidwolfe.com,False,3,False,none,3,7.1,USA,200,0.86,142,none,True,False,False,True,eNom,daily,False,9,TLS1.3,DV,offshore,no,20,yes,0,new
ox.ac.uk,True,162,True,Amazon,0,1.9,UK,200,0.34,53,high,True,True,True,True,CSC Corporate,hourly,True,97,TLS1.3,DV,cloud,yes,15,no,0,legacy
yournewswire.com,False,21,False,none,2,6.3,Canada,200,0.81,139,none,False,True,True,True,GoDaddy,irregular,False,11,none,DV,cloud,no,81,yes,6,growing
neonnettle.com,False,1,False,none,3,7.1,USA,200,0.45,68,none,False,True,False,False,Namecheap,weekly,True,19,TLS1.2,DV,cloud,no,66,no,0,new
newspunch.com,True,1,True,Cloudflare,5,6.9,Offshore,200,0.99,50,low,False,True,True,True,eNom,daily,True,73,TLS1.2,self_signed,cloud,no,91,no,69,new
bipartisanreport.com,True,22,False,Let's Encrypt,4,1.5,USA,200,0.91,61,low,True,False,True,True,GoDaddy,irregular,False,8,TLS1.2,none,offshore,yes,37,yes,8,growing
npr.org,True,11,True,InCommon,0,0.5,USA,200,0.35,48,high,True,True,True,False,Network Solutions,hourly,True,84,TLS1.3,EV,cloud,no,4,no,0,growing
who.int,True,81,True,GlobalSign,2,1.4,UK,200,0.1,46,high,True,True,True,False,MarkMonitor,hourly,True,97,TLS1.3,OV,enterprise,yes,1,no,0,established
thedailysheeple.com,True,27,False,Let's Encrypt,4,3.3,Russia,200,0.99,204,none,False,False,True,True,GoDaddy,daily,False,39,TLS1.1,DV,shared,no,21,no,0,established
bipartisanreport.com,False,3,False,none,3,5.1,USA,200,0.6,143,low,True,False,False,True,Namecheap,irregular,False,21,TLS1.2,DV,shared,no,79,yes,18,new
rt.com,True,2,False,Cloudflare,0,1.8,UK,200,0.69,192,medium,False,False,False,True,Namecheap,irregular,True,57,none,DV,shared,no,36,no,6,new
mit.edu,True,90,True,DigiCert,0,1.4,UK,200,0.28,50,high,True,True,True,False,MarkMonitor,daily,True,87,TLS1.3,OV,cloud,no,15,no,0,established
mercola.com,True,2,True,Cloudflare,1,7.3,USA,200,0.75,111,medium,False,True,True,True,OVH,irregular,False,11,TLS1.1,self_signed,shared,no,45,yes,44,new
dailybuzzlive.com,True,12,False,self-signed,0,3.5,USA,200,0.47,206,medium,True,True,False,True,GoDaddy,irregular,True,19,TLS1.2,DV,cloud,no,40,yes,1,growing
abcnews.com.co,True,4,True,Let's Encrypt,0,5.4,USA,200,0.99,86,medium,False,True,False,True,OVH,irregular,True,36,TLS1.2,none,shared,no,43,no,22,new
washingtonpost.com,True,177,True,DigiCert,1,0.7,USA,200,0.11,18,high,True,True,True,True,CSC Corporate,hourly,False,97,TLS1.3,OV,enterprise,yes,7,no,0,legacy
bipartisanreport.com,True,22,True,Cloudflare,1,6.4,Offshore,200,0.25,177,low,False,True,False,False,GoDaddy,irregular,True,19,TLS1.3,DV,cloud,no,74,no,89,growing
globalresearch.ca,False,20,False,none,1,6.3,Offshore,200,0.47,202,none,False,False,False,True,Namecheap,irregular,True,29,TLS1.0,DV,cloud,no,59,yes,46,growing
rt.com,True,10,True,Let's Encrypt,3,2.3,USA,200,0.51,178,low,True,True,False,True,Namecheap,daily,False,35,TLS1.3,self_signed,shared,no,87,no,7,new
nypost.com,True,3,True,none,2,5.4,Canada,200,0.89,211,medium,False,False,False,True,GoDaddy,weekly,False,19,TLS1.0,self_signed,cloud,no,50,no,83,new
dailymail.co.uk,True,16,True,self-signed,1,2.5,Offshore,200,0.97,151,low,False,False,False,True,Namecheap,irregular,False,51,TLS1.2,DV,shared,no,50,yes,0,growing
britannica.com,True,68,True,InCommon,0,1.7,USA,200,0.19,40,high,True,True,True,True,Network Solutions,daily,True,97,TLS1.3,OV,enterprise,yes,14,no,2,established
naturalnews.com,True,6,True,Let's Encrypt,2,2.9,UK,200,0.87,167,low,False,True,False,True,Namecheap,daily,False,11,none,self_signed,cloud,no,36,yes,22,new
bipartisanreport.com,True,15,False,Cloudflare,2,5.7,USA,200,0.9,76,none,False,True,False,False,Namecheap,irregular,False,46,none,none,offshore,no,58,yes,0,growing
mayo.edu,True,92,True,Amazon,1,1.5,Canada,200,0.27,21,high,True,True,True,False,MarkMonitor,hourly,True,87,TLS1.3,EV,cloud,yes,6,no,0,established
thegatewaypundit.com,True,7,True,Let's Encrypt,2,4.0,UK,200,0.45,132,medium,False,False,False,True,Namecheap,daily,False,28,TLS1.2,self_signed,shared,yes,40,no,0,new
sciencemag.org,True,5,True,GlobalSign,0,1.8,USA,200,0.03,17,high,True,True,True,True,MarkMonitor,weekly,True,98,TLS1.3,DV,enterprise,yes,2,no,0,new
thedailysheeple.com,True,20,True,self-signed,2,1.5,USA,200,0.94,99,none,False,True,False,True,Namecheap,irregular,True,52,TLS1.2,none,cloud,yes,79,no,32,growing
newspunch.com,True,52,False,none,0,3.4,USA,200,0.68,205,medium,False,False,False,True,GoDaddy,irregular,True,11,none,DV,cloud,no,94,yes,23,established
infowars.com,True,35,True,self-signed,0,1.5,Offshore,200,0.87,71,low,False,False,False,True,GoDaddy,daily,True,34,none,none,cloud,no,59,yes,9,established
nature.com,True,162,True,InCommon,0,1.1,UK,200,0.14,47,medium,True,True,True,False,MarkMonitor,daily,True,94,TLS1.3,EV,cloud,yes,19,no,0,legacy
naturalnews.com,False,39,False,none,3,4.3,Offshore,200,0.9,48,medium,False,True,True,True,Unknown,irregular,False,11,TLS1.2,self_signed,cloud,yes,95,yes,0,established
mit.edu,True,30,True,DigiCert,0,1.3,UK,200,0.13,19,high,True,True,True,True,CSC Corporate,hourly,True,91,TLS1.3,OV,cloud,yes,9,no,0,established
npr.org,True,40,True,DigiCert,0,1.3,Germany,200,0.11,44,high,True,True,True,False,MarkMonitor,daily,True,95,TLS1.3,OV,enterprise,yes,11,no,0,established
infowars.com,True,23,True,Cloudflare,0,4.4,USA,200,0.91,143,low,False,True,False,True,GoDaddy,daily,False,36,TLS1.3,self_signed,shared,no,73,yes,27,growing
economist.com,True,107,True,GlobalSign,1,2.3,UK,200,0.35,63,medium,True,True,True,False,MarkMonitor,hourly,True,84,TLS1.3,EV,enterprise,yes,19,no,0,legacy
conservativetribune.com,False,23,False,none,3,2.3,UK,200,0.93,107,low,False,False,True,True,eNom,irregular,True,72,TLS1.1,DV,cloud,no,96,no,43,growing
nytimes.com,True,109,True,GlobalSign,0,1.5,Canada,200,0.02,47,medium,True,True,True,False,GoDaddy,daily,True,96,TLS1.3,OV,enterprise,yes,12,no,0,legacy
berkeley.edu,True,51,True,DigiCert,0,0.9,France,200,0.21,68,medium,True,True,True,False,Network Solutions,hourly,True,98,TLS1.3,OV,enterprise,yes,15,yes,0,established
harvard.edu,True,55,True,DigiCert,2,1.6,USA,200,0.04,29,high,False,True,True,False,MarkMonitor,daily,True,93,TLS1.2,DV,cloud,yes,12,no,0,established
jstor.org,True,61,True,GlobalSign,1,1.0,USA,200,0.02,60,medium,True,True,True,False,Verisign,hourly,True,89,TLS1.3,EV,enterprise,yes,4,no,0,established
nytimes.com,True,160,True,GlobalSign,0,1.2,UK,200,0.25,15,high,True,True,True,True,MarkMonitor,daily,True,95,TLS1.2,OV,enterprise,yes,9,no,0,legacy
yournewswire.com,False,2,False,none,3,2.0,USA,200,0.94,207,low,False,False,False,True,GoDaddy,weekly,False,52,TLS1.1,none,shared,no,28,no,42,new
dailywire.com,False,11,False,none,3,4.2,USA,200,0.55,157,none,False,False,False,True,GoDaddy,irregular,True,62,none,DV,offshore,no,77,yes,72,growing
nih.gov,True,17,True,DigiCert,0,1.0,Germany,200,0.42,61,high,True,True,True,True,Verisign,daily,True,84,TLS1.3,EV,cloud,no,18,no,0,growing
abcnews.com.co,False,3,False,none,2,6.7,Offshore,200,0.67,77,low,True,True,True,True,Namecheap,irregular,True,20,TLS1.3,self_signed,cloud,no,62,yes,29,new
fda.gov,True,19,True,DigiCert,0,1.6,USA,200,0.11,18,medium,True,True,True,False,Network Solutions,hourly,True,97,TLS1.2,OV,enterprise,yes,6,yes,0,growing
nih.gov,True,157,True,DigiCert,0,1.3,UK,200,0.05,42,high,True,True,True,False,GoDaddy,daily,True,87,TLS1.3,OV,enterprise,no,17,no,0,legacy
newspunch.com,True,13,True,Let's Encrypt,3,1.5,USA,200,0.98,187,medium,False,True,False,True,eNom,daily,True,32,none,self_signed,cloud,yes,31,yes,0,growing
davidwolfe.com,True,13,False,Cloudflare,3,9.8,USA,200,0.51,154,low,False,True,True,False,GoDaddy,irregular,True,71,none,DV,cloud,no,36,no,90,growing
davidwolfe.com,False,2,False,none,3,1.5,Offshore,200,0.52,121,none,False,False,True,False,GoDaddy,weekly,False,64,TLS1.2,DV,shared,no,25,no,79,new
economist.com,True,72,True,DigiCert,0,1.1,USA,200,0.1,57,high,True,True,True,False,Network Solutions,hourly,True,85,TLS1.3,OV,enterprise,no,18,no,0,established
who.int,True,146,True,DigiCert,1,0.5,Canada,200,0.12,57,high,True,True,True,False,MarkMonitor,hourly,False,95,TLS1.3,OV,cloud,yes,16,no,0,legacy
dailybuzzlive.com,True,1,False,Cloudflare,2,8.4,USA,200,0.73,201,low,True,False,True,False,Unknown,irregular,False,14,TLS1.2,self_signed,offshore,yes,26,yes,17,new
dailymail.co.uk,True,19,True,none,2,3.1,Offshore,200,0.43,104,low,True,False,False,True,Unknown,weekly,False,52,TLS1.2,DV,shared,no,41,yes,21,growing
yournewswire.com,True,10,True,self-signed,5,1.5,Canada,200,0.62,47,low,False,False,False,True,Namecheap,irregular,True,12,TLS1.2,DV,cloud,yes,79,yes,0,new
beforeitsnews.com,True,20,False,Cloudflare,3,6.6,Offshore,200,0.89,72,medium,True,False,False,False,GoDaddy,irregular,True,60,TLS1.2,DV,cloud,no,37,no,45,growing
thegatewaypundit.com,True,49,True,Let's Encrypt,3,2.9,UK,200,0.95,176,low,False,False,False,True,GoDaddy,irregular,False,30,TLS1.2,self_signed,offshore,no,60,yes,90,established
rt.com,True,13,True,none,2,5.2,USA,200,0.5,46,low,False,True,False,True,GoDaddy,irregular,False,49,TLS1.1,none,cloud,no,45,no,1,growing
sciencemag.org,True,65,True,GlobalSign,0,1.4,Canada,200,0.02,17,high,True,True,True,False,CSC Corporate,hourly,False,86,TLS1.3,OV,cloud,yes,19,no,0,established
harvard.edu,True,75,True,DigiCert,1,1.4,USA,200,0.03,62,medium,True,True,True,False,CSC Corporate,daily,True,89,TLS1.3,EV,cloud,yes,19,no,0,established
newspunch.com,True,12,True,Let's Encrypt,0,6.8,Canada,200,0.99,128,none,False,True,False,True,GoDaddy,irregular,False,24,TLS1.2,self_signed,cloud,no,84,yes,0,growing
nature.com,True,124,True,InCommon,0,1.2,USA,200,0.11,18,high,True,True,True,False,Network Solutions,hourly,True,86,TLS1.2,EV,enterprise,yes,18,no,0,legacy
wsj.com,True,176,True,Amazon,1,1.3,Switzerland,200,0.05,49,medium,True,True,True,True,MarkMonitor,daily,True,87,TLS1.3,OV,enterprise,no,17,no,0,legacy
breitbart.com,True,8,False,Let's Encrypt,3,5.5,Offshore,200,0.78,144,none,False,True,True,True,Namecheap,weekly,True,25,TLS1.2,none,shared,no,22,yes,15,new
npr.org,True,55,True,GlobalSign,1,1.5,UK,200,0.07,49,high,True,True,True,False,MarkMonitor,daily,True,94,TLS1.3,EV,enterprise,yes,15,no,0,established
naturalnews.com,True,18,True,self-signed,0,5.1,USA,200,0.58,153,none,False,True,False,True,Namecheap,weekly,True,30,TLS1.3,none,shared,no,73,no,17,growing
jstor.org,False,6,False,none,0,0.9,France,200,0.41,44,high,True,True,True,False,Verisign,hourly,True,86,TLS1.2,OV,enterprise,no,11,no,0,new
zerohedge.com,True,14,True,Let's Encrypt,2,6.0,USA,200,0.62,188,medium,False,True,True,True,Namecheap,irregular,True,25,TLS1.3,self_signed,shared,no,21,no,31,growing
bbc.com.co,True,15,True,Cloudflare,4,6.7,UK,200,0.54,140,medium,False,False,True,True,GoDaddy,irregular,False,28,TLS1.3,DV,offshore,no,83,no,0,growing
yournewswire.com,True,10,True,Let's Encrypt,3,4.7,UK,200,0.58,125,low,False,True,False,True,OVH,daily,True,24,TLS1.2,DV,cloud,yes,82,no,87,new
wakingtimes.com,False,16,False,none,3,3.9,Offshore,200,0.55,189,medium,True,False,True,True,eNom,weekly,False,54,none,DV,offshore,no,29,yes,95,growing
nypost.com,True,19,True,self-signed,1,4.9,UK,200,0.64,160,none,True,False,False,False,GoDaddy,irregular,True,63,TLS1.2,none,cloud,no,29,yes,0,growing
berkeley.edu,True,54,True,InCommon,0,1.2,France,200,0.17,33,high,True,True,True,False,MarkMonitor,daily,True,82,TLS1.2,OV,enterprise,yes,6,no,0,established
ox.ac.uk,True,143,True,Let's Encrypt,0,0.9,USA,200,0.03,68,high,True,True,True,True,MarkMonitor,daily,True,94,TLS1.3,OV,enterprise,no,2,no,0,legacy
yournewswire.com,False,4,False,none,3,3.2,USA,200,0.86,118,low,False,True,False,True,Namecheap,daily,True,34,TLS1.2,DV,shared,no,85,yes,44,new
washingtonpost.com,True,114,True,Let's Encrypt,0,1.1,USA,200,0.07,26,high,True,True,True,False,Network Solutions,daily,True,95,TLS1.3,EV,cloud,yes,10,no,0,legacy
infowars.com,True,16,False,none,0,4.8,Canada,200,0.83,127,medium,False,False,False,True,GoDaddy,irregular,False,16,TLS1.2,DV,shared,no,50,no,71,growing
nypost.com,True,21,True,Let's Encrypt,0,5.3,UK,200,0.85,188,none,False,False,False,True,Namecheap,irregular,True,15,TLS1.0,self_signed,shared,yes,52,no,0,growing
thedailysheeple.com,True,20,False,none,1,4.1,Offshore,200,0.97,208,low,False,True,True,True,GoDaddy,irregular,False,9,TLS1.1,DV,cloud,yes,31,no,51,growing
ox.ac.uk,True,189,True,Amazon,1,1.6,UK,200,0.16,40,high,True,True,True,True,MarkMonitor,daily,True,93,TLS1.3,OV,enterprise,yes,8,no,0,legacy
bloomberg.com,True,175,True,DigiCert,1,0.5,USA,200,0.35,29,high,True,True,True,False,Network Solutions,daily,True,95,TLS1.3,EV,cloud,yes,19,no,0,legacy
nypost.com,True,53,False,Let's Encrypt,4,5.9,USA,200,0.25,132,low,False,False,True,True,Namecheap,daily,True,47,TLS1.2,self_signed,shared,yes,80,yes,8,established
berkeley.edu,True,13,True,Amazon,2,1.8,Germany,200,0.34,31,high,True,True,True,False,MarkMonitor,weekly,True,96,TLS1.2,OV,enterprise,yes,6,no,0,growing
beforeitsnews.com,True,49,True,Cloudflare,3,1.5,USA,200,0.97,191,none,True,False,False,True,Unknown,irregular,False,79,TLS1.2,DV,shared,no,34,yes,4,established
neonnettle.com,False,5,False,none,2,2.2,Russia,200,0.39,188,medium,False,False,True,True,GoDaddy,weekly,True,24,none,none,cloud,no,47,yes,60,new
cdc.gov,True,88,True,GlobalSign,1,1.2,UK,200,0.08,24,medium,True,True,False,True,MarkMonitor,weekly,True,96,TLS1.3,EV,cloud,yes,3,no,0,established
dailymail.co.uk,False,17,False,none,1,4.4,Russia,200,0.99,182,none,False,False,False,True,Namecheap,weekly,True,41,TLS1.2,DV,cloud,yes,97,yes,25,growing
britannica.com,True,145,True,GlobalSign,0,2.1,USA,200,0.35,24,high,True,True,True,False,Network Solutions,hourly,True,94,TLS1.2,EV,cloud,yes,19,no,0,legacy
naturalnews.com,True,8,True,Let's Encrypt,2,2.0,USA,200,0.94,147,low,False,False,True,True,Unknown,daily,False,37,TLS1.2,DV,shared,no,55,yes,21,new
who.int,True,130,True,GlobalSign,0,1.2,Switzerland,200,0.15,57,high,True,True,True,False,MarkMonitor,daily,True,85,TLS1.3,EV,enterprise,yes,5,no,0,legacy
zerohedge.com,True,17,False,Let's Encrypt,4,2.5,Offshore,200,0.84,98,low,False,False,True,False,GoDaddy,irregular,True,17,TLS1.2,DV,cloud,yes,54,yes,87,growing
npr.org,True,131,True,GlobalSign,0,1.2,USA,200,0.26,34,high,True,True,True,False,CSC Corporate,daily,True,82,TLS1.3,EV,cloud,yes,16,no,0,legacy
berkeley.edu,True,133,True,GlobalSign,1,0.9,Canada,200,0.09,54,medium,True,True,True,False,Verisign,hourly,True,91,TLS1.3,OV,enterprise,no,13,no,0,legacy
globalresearch.ca,True,21,False,none,3,7.3,Offshore,200,0.25,214,medium,False,False,True,True,eNom,daily,False,20,TLS1.2,none,cloud,no,34,yes,4,growing
thedailysheeple.com,True,18,True,GeoTrust,2,4.3,UK,200,0.99,175,medium,True,False,True,True,Unknown,daily,False,59,TLS1.2,self_signed,cloud,yes,56,no,67,growing
gov.uk,True,102,True,DigiCert,0,1.4,USA,200,0.17,50,high,True,True,True,False,Verisign,weekly,True,82,TLS1.3,OV,enterprise,yes,5,no,0,legacy
occupydemocrats.com,True,21,True,Let's Encrypt,2,6.2,UK,200,0.62,54,medium,True,False,False,True,Unknown,irregular,True,43,TLS1.1,self_signed,shared,no,70,no,18,growing
beforeitsnews.com,True,21,True,Cloudflare,0,5.9,Offshore,200,0.49,108,low,False,False,True,True,GoDaddy,daily,True,8,TLS1.0,none,shared,no,61,no,97,growing
britannica.com,True,55,True,GlobalSign,0,2.1,UK,200,0.11,23,high,True,True,True,False,Verisign,daily,True,95,TLS1.2,EV,enterprise,no,14,no,0,established
davidwolfe.com,True,7,False,Cloudflare,4,4.4,USA,200,0.9,51,low,False,True,False,True,GoDaddy,irregular,True,77,none,DV,shared,yes,40,yes,89,new
rt.com,True,8,True,Let's Encrypt,2,3.6,USA,200,0.25,151,medium,False,False,False,False,eNom,irregular,True,77,TLS1.3,self_signed,cloud,no,74,no,97,new
neonnettle.com,True,10,False,Cloudflare,5,9.0,USA,200,0.82,144,medium,False,False,True,True,Unknown,irregular,True,17,TLS1.2,self_signed,shared,no,97,yes,71,new
nytimes.com,True,18,True,DigiCert,0,0.9,Germany,200,0.05,45,high,True,True,True,False,MarkMonitor,hourly,False,96,TLS1.3,OV,cloud,yes,6,no,0,growing
gov.uk,True,174,True,GlobalSign,0,1.5,France,200,0.04,47,high,True,True,True,False,GoDaddy,daily,True,91,TLS1.3,OV,enterprise,no,19,no,0,legacy
harvard.edu,True,24,True,Amazon,0,2.2,USA,200,0.34,35,high,True,True,True,False,Verisign,daily,True,96,TLS1.3,OV,enterprise,yes,19,no,0,growing
wakingtimes.com,True,17,False,Cloudflare,5,2.1,Offshore,200,0.38,95,medium,False,False,True,True,Namecheap,irregular,False,50,TLS1.0,self_signed,cloud,no,32,yes,18,growing
dailymail.co.uk,True,27,True,Let's Encrypt,2,4.2,UK,200,0.69,56,medium,False,True,False,True,eNom,irregular,True,24,TLS1.2,self_signed,cloud,no,22,yes,17,established
wakingtimes.com,True,10,True,Let's Encrypt,3,8.2,Offshore,200,0.41,210,low,False,True,False,True,Namecheap,daily,False,62,none,DV,offshore,no,46,yes,67,new
fda.gov,True,190,True,GlobalSign,1,1.2,UK,200,0.16,63,high,False,True,True,True,Verisign,daily,True,99,TLS1.3,DV,cloud,yes,7,yes,0,legacy
stanford.edu,True,32,True,DigiCert,0,1.3,USA,200,0.15,63,high,True,True,True,False,MarkMonitor,daily,True,88,TLS1.3,OV,cloud,yes,16,no,0,established
conservativetribune.com,True,3,True,self-signed,1,3.9,Offshore,200,0.93,52,medium,False,False,False,True,Namecheap,irregular,True,34,TLS1.0,none,shared,no,40,yes,4,new
jstor.org,True,83,True,Amazon,1,1.0,USA,200,0.22,27,medium,True,True,True,False,CSC Corporate,daily,True,96,TLS1.3,EV,cloud,yes,7,no,0,established
washingtonpost.com,True,18,True,GlobalSign,0,0.5,USA,200,0.12,31,high,True,True,True,False,CSC Corporate,hourly,True,88,TLS1.2,EV,enterprise,yes,12,no,0,growing
nypost.com,False,5,False,none,0,7.5,Offshore,200,0.87,172,medium,True,False,False,True,eNom,irregular,False,39,TLS1.2,self_signed,cloud,no,27,yes,50,new
nypost.com,True,25,True,Let's Encrypt,0,3.9,USA,200,0.4,101,medium,False,True,True,False,Unknown,daily,True,58,TLS1.2,DV,cloud,no,49,yes,42,growing
newspunch.com,True,29,True,Let's Encrypt,1,4.0,Offshore,200,0.92,140,low,False,False,True,True,GoDaddy,weekly,False,37,TLS1.3,DV,shared,yes,85,yes,11,established
reuters.com,True,121,True,GlobalSign,0,1.0,Canada,200,0.03,67,high,True,True,True,False,GoDaddy,hourly,True,88,TLS1.3,OV,enterprise,yes,3,no,0,legacy
who.int,True,139,True,DigiCert,0,1.9,France,200,0.02,37,high,True,True,True,False,CSC Corporate,daily,True,82,TLS1.2,DV,enterprise,yes,18,no,0,legacy
theguardian.com,True,69,True,Amazon,1,0.7,USA,200,0.06,32,high,True,True,True,False,MarkMonitor,daily,True,92,TLS1.2,EV,enterprise,yes,8,no,0,established
nypost.com,True,4,False,Let's Encrypt,4,7.5,Offshore,200,0.99,77,medium,False,False,True,True,Unknown,weekly,True,46,TLS1.2,none,cloud,no,93,yes,45,new
sputniknews.com,True,39,True,self-signed,3,2.8,USA,200,0.95,79,medium,True,False,True,False,GoDaddy,weekly,True,25,TLS1.2,self_signed,shared,yes,64,yes,13,established
naturalnews.com,False,12,False,none,1,5.0,Offshore,200,0.85,82,medium,False,True,True,True,eNom,irregular,True,33,TLS1.0,none,cloud,yes,38,no,19,growing
nytimes.com,True,44,True,Let's Encrypt,0,1.4,USA,200,0.22,26,medium,True,True,True,True,MarkMonitor,weekly,True,93,TLS1.3,OV,enterprise,yes,8,no,0,established
naturalnews.com,True,13,True,Cloudflare,1,4.5,USA,200,0.27,64,low,False,False,False,True,Namecheap,irregular,True,77,none,DV,shared,no,97,no,57,growing
bbc.com.co,True,52,False,Cloudflare,2,5.6,USA,200,0.92,62,none,True,False,False,False,GoDaddy,daily,True,77,TLS1.0,self_signed,cloud,yes,47,yes,70,established
nytimes.com,True,161,True,Amazon,1,0.6,USA,200,0.13,16,high,True,True,True,False,CSC Corporate,hourly,True,86,TLS1.2,DV,cloud,yes,10,no,0,legacy
occupydemocrats.com,True,5,True,none,5,5.5,Offshore,200,0.52,58,medium,False,True,False,False,Namecheap,weekly,True,41,TLS1.3,DV,offshore,no,33,no,18,new
stanford.edu,True,66,True,InCommon,0,1.8,Germany,200,0.41,48,high,True,True,True,True,MarkMonitor,hourly,True,89,TLS1.3,EV,enterprise,yes,13,no,0,established
mayo.edu,False,17,False,none,2,0.9,Germany,200,0.44,15,high,True,True,True,False,MarkMonitor,daily,False,97,TLS1.2,OV,enterprise,yes,4,no,0,growing
bipartisanreport.com,True,11,True,Let's Encrypt,4,5.1,UK,200,0.48,201,low,True,False,False,True,Namecheap,weekly,True,40,TLS1.2,DV,cloud,no,51,yes,56,growing
mit.edu,True,192,True,Amazon,2,1.8,USA,200,0.03,47,high,True,True,True,False,MarkMonitor,daily,True,89,TLS1.3,DV,cloud,yes,11,no,0,legacy
newspunch.com,True,4,True,Cloudflare,0,5.9,Offshore,200,0.89,211,medium,True,False,False,False,Unknown,weekly,True,28,TLS1.1,DV,shared,no,92,no,20,new
newspunch.com,True,10,True,Cloudflare,0,1.5,USA,200,0.99,154,low,False,True,False,True,GoDaddy,daily,True,43,TLS1.2,DV,offshore,yes,62,no,21,new
wsj.com,True,183,True,InCommon,0,1.2,Switzerland,200,0.07,27,medium,True,True,True,False,MarkMonitor,hourly,True,94,TLS1.2,OV,enterprise,yes,18,no,0,legacy
sciencemag.org,True,178,True,GlobalSign,0,0.5,UK,200,0.04,23,high,True,False,True,False,MarkMonitor,hourly,True,90,TLS1.3,OV,enterprise,no,11,no,0,legacy
naturalnews.com,False,4,False,none,2,1.9,Russia,200,0.9,40,none,False,False,False,True,Namecheap,irregular,False,57,TLS1.2,self_signed,shared,no,31,yes,21,new
npr.org,True,175,True,DigiCert,1,0.5,France,200,0.32,38,high,True,True,True,False,MarkMonitor,weekly,True,88,TLS1.3,OV,enterprise,yes,18,no,0,legacy
wsj.com,True,22,True,DigiCert,0,1.8,Switzerland,200,0.07,45,high,True,True,True,False,CSC Corporate,hourly,True,89,TLS1.3,OV,cloud,no,7,no,0,growing
ox.ac.uk,True,67,True,Let's Encrypt,0,1.2,UK,200,0.25,26,high,True,True,True,False,MarkMonitor,daily,True,93,TLS1.2,OV,enterprise,yes,8,no,0,established
newspunch.com,True,57,True,Cloudflare,3,6.6,Offshore,200,0.97,107,none,False,False,True,True,Namecheap,daily,True,11,TLS1.2,DV,cloud,no,23,no,74,established
infowars.com,True,17,True,self-signed,3,6.0,Offshore,200,0.99,185,low,False,False,False,True,GoDaddy,daily,False,43,TLS1.1,OV,offshore,yes,74,no,0,growing
gov.uk,True,75,True,GlobalSign,2,1.2,Switzerland,200,0.02,69,high,True,True,True,False,Network Solutions,hourly,True,98,TLS1.3,EV,cloud,yes,2,no,0,established
beforeitsnews.com,True,1,False,self-signed,4,3.0,USA,200,0.68,118,low,False,False,False,True,Unknown,weekly,False,13,none,none,cloud,no,49,yes,89,new
neonnettle.com,True,6,True,Cloudflare,2,4.7,UK,200,0.79,188,none,False,True,False,True,Namecheap,irregular,False,57,TLS1.2,self_signed,shared,yes,77,no,74,new
wakingtimes.com,True,50,True,Cloudflare,5,3.5,Russia,200,0.99,209,medium,False,True,False,True,Namecheap,irregular,False,40,TLS1.1,self_signed,shared,no,64,yes,94,established
bbc.com,True,43,True,GlobalSign,1,1.0,USA,200,0.38,32,high,True,True,True,False,GoDaddy,daily,True,93,TLS1.3,OV,cloud,yes,5,no,0,established
